plot.name,locality,utm.x,utm.y,key
B1,BCI,626200,1011800,B1
B2,BCI,626200,1011900,B2
B3,BCI,626200,1012000,B3
B4,BCI,626200,1012100,B4
B5,BCI,626200,1012200,B5
B5,BCI,626200,1012300,B6
C1,Coccoli,651917,993636,C1
C2,Coccoli,651927,993636,C2
C3,Coccoli,651937,993636,C3
C4,Coccoli,651947,993636,C4
1,Ft. Sherman,614857,1031786,p1
2,Ft. Sherman,628587,1014891,p2
3,Ft. Sherman,629529,1015836,p3
4,Ft. Sherman,625125,1012545,p4
5,Pipeline,637158,1012428,p5
6,Pipeline,637984,1012395,p6
7,Pipeline,638144,1012886,p7
8,Pipeline,637732,1013699,p8
9,Pipeline,638365,1013754,p9
10,BCI,637861,1012976,p10
11,BCI,641464,1011328,p11
12,BCI,641108,1011888,p12
13,BCI,622785,1010903,p13
14,BCI,625209,1012640,p14
15,Pipeline,637878,1012775,p15
16,Pipeline,643560,1010755,p16
17,Pipeline,643599,1011461,p17
18,Pipeline,645805,1008575,p18
19,Pipeline,645416,1008797,p19
20,Pipeline,632003,1003751,p20
21,Gamboa,633322,1003529,p21
22,Gamboa,648907,1004027,p22
23,Gamboa,649196,1004697,p23
24,Gamboa,649678,993573,p24
25,Gamboa,632900,1003600,p25
26,Gamboa,637474,1034700,p26
27,Gamboa,649003,1003838,p27
28,Gamboa,649245,1004503,p28
29,Coccoli,649717,993540,p29
30,Coccoli,649221,994670,p30
31,Santa Rita,637514,1034795,p31
32,Santa Rita,639892,1034555,p32
33,Santa Rita,647620,1038454,p33
34,Outer Watershed,660393,1041453,p34
35,Outer Watershed,656577,1045987,p35
36,Outer Watershed,661790,1039037,p36
37,Outer Watershed,688165,1030609,p37
38,Outer Watershed,600714,962862,p38
39,Outer Watershed,601167,966019,p39
S0,Ft. Sherman,612610,1026067,S0
S1,Ft. Sherman,612713,1025857,S1
S2,Ft. Sherman,612713,1025957,S2
S3,Ft. Sherman,612713,1026057,S3
S4,Ft. Sherman,612713,1026157,S4
